RegionName,City,State,Metro,CountyName,SizeRank,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Gramercy,New York,NY,New York,New York,77,,,,,,3095,3195,3050,3000,2700,2800,2750,2800,2850,2900,2900,2900,2900,2995,2900,2900.5,2950,2985,2995,3000,3050,3095,3100,3100,3115,3181,3095,3095,3095,3065,3100,3162,3095,3095,3100,3100,3095,3100,3100,3095,3100,3100,3100,3175,3150,3450,3380,3350,3331,3331,3331,3300,3314,3300,3323,3314,3300,3314,3295,3318.5,3323,3314,3295,3295,3300,3300,3300,3318.5,3350,3314,3350,3300,3300,3295,3300,3295,3330,3330,3322.5,3300,3295,3295,3350,3330,3314,3250,3250,3295,3314,3314,3314,3350,3348.5
Richmond Hill,New York,NY,New York,Queens,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1550,1550,1500,1500,1475,1475,1600,1600,1600,1600,1600,1600,1600,1525,1600,1575,1500,1574.5
Bay Ridge,New York,NY,New York,Kings,79,,,,,,,,,,,,,,1350,1350,1300,1300,1300,1300,1300,1300,1300,1350,1350,1350,1350,1350,1300,1375,1375,1375,1350,1350,1350,1400,1400,1400,1400,1400,1400,1430,1425,1425,1450,1475,1475,1475,1475,1450,1450,1450,1450,1490,1500,1500,1475,1500,1500,1500,1500,1550,1525,1550,1550,1600,1600,1595,1550,1550,1600,1600,1600,1550,1600,1600,1600,1636.5,1600,1625,1650,1697,1650,1600,1600,1600,1600,1637.5,1600,1600,1624.5,1650,1650,1650,1650,1650,1650,1650,1700
Tremont,New York,NY,New York,Bronx,82,,,,,,,,,,,,,,,,,,,,,,,,,,975,975,975,965,999,1050,1000,975,1000,1050,1100,1087.5,1050,1100,1100,1150,1150,1150,1150,1150,1150,1175,1200,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1250,1300,1300,1295,1295,1300,1300,1300,1300,1300,1350,1300,1300,1325,1300,1300,1300,1350,1325,1300,1350,1350,1350,1350,1395,1400,1412.5,1400,1400,1350,1395,1450,1475,1450,1450,1450,1450,1450,1400,1425
Kensington,New York,NY,New York,Kings,84,,,,,,,,,,,,,,,1350,1350,1350,1385,1375,1400,1335,1345,1350,1400,1390,1400,1450,1500,1500,1537.5,1500,1500,1500,1500,1512.5,1500,1575,1575,1600,1725,1625,1672.5,1795,1800,1675,1750,1875,1875,1750,1750,1600,1600,1600,1600,1623,1590,1595,1700,1700,1800,1850,1800,1700,1795,1800,1899,1900,1850,1800,1850,1785,1775,1800,1850,1800,1795,1825,2150,1975,1800,1750,1725.5,1750,1750,1765,1950,1887.5,1825,1705,1737.5,1775,1750,1775,1970,1892,1800,1775,1800
Bath Beach,New York,NY,New York,Kings,85,,,,,,,,,,,,,,,,1200,1200,1225,1200,1250,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1212.5,1237.5,1250,1250,1250,1250,1250,1262.5,1250,1250,1275,1275,1275,1275,1300,1300,1300,1300,1300,1300,1300,1300,1320,1320,1325,1350,1350,1395,1375,1350,1350,1400,1400,1400,1400,1495,1400,1450,1425,1450,1425,1500,1500,1500,1499,1562.5,1500,1500,1500,1595,1500,1500,1562.5,1550,1500,1500,1500,1500,1525,1600,1600,1599.5,1600,1550,1550,1550
University Heights,New York,NY,New York,Bronx,93,,,,,,,,,,,,,,,1000,975,975,975,980,982.5,1000,1000,1000,1000,1000,1000,1000,1000,1020,1000,1050,1050,1050,1050,1100,1100,1100,1100,1099.5,1099,1050,1057.5,1125,1100,1100,1125,1125,1125,1150,1150,1199,1200,1200,1150,1150,1175,1230,1200,1250,1246.5,1200,1225,1295,1300,1299.5,1300,1300,1300,1300,1300,1300,1300,1281,1300,1300,1312.5,1350,1300,1350,1350,1400,1400,1400,1400,1400,1375,1400,1400,1400,1450,1450,1450,1450,1450,1450,1450,1450,1437.5
Bayside,New York,NY,New York,Queens,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1400,1500,1550,1550,1425,1500,1495,1495,1495,1500,1500,1500,1500,1500,1400,1400,1400,1500,1600,1600,1600,1425,1450,1550,1537.5,1550,1600,1612.5,1600,1600,1650,1650,1625,1600,1600,1550,1650,1650,1750,1700,1728,1650,1650,1695,1692.5,1750,1750,1795,1700,1795,1785,1775,1750,1700,1700,1700,1700,1775,1715
Bedford Park,New York,NY,New York,Bronx,95,,,,,,,,,,,,,,,1000,1000,1000,1000,1000,1000,950,962.5,975,987.5,1000,1000,1000,1050,1050,1012.5,1010,1000,1000,1020,1050,1050,1050,1100,1100,1100,1100,1100,1137.5,1100,1150,1100,1150,1195,1200,1200,1200,1200,1250,1200,1250,1250,1250,1253,1253,1272,1251,1295,1300,1300,1350,1380,1395,1400,1400,1400,1400,1400,1350,1385,1400,1412.5,1450,1462.5,1400,1400,1450,1400,1400,1450,1450,1495,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1450,1495
Maspeth,New York,NY,New York,Queens,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1500,1500,1600,1600,1600,1600,1625,1600,1600,1600,1575,1575,1600,1600,1600,1600,1650
